Aallontie, 40100 Jyväskylä, Finland;62.23106170000001;25.736079
Aallontie, 40100 Jyväskylä, Finland;62.23106170000001;25.736079
Aapelinpolku 6, 40270 Jyväskylä, Finland;62.30522560000001;25.7300719
Aapontie 9, 41160 Jyväskylä, Finland;62.37966050000001;25.6583961
Aholaidantie 4, 40320 Jyväskylä, Finland;62.2495468;25.7743839
Aholanraitti 4, 41870 Jyväskylä, Finland;61.9121233;25.6631769
Ahvenniementie 9, 41880 Jyväskylä, Finland;61.96987309999999;25.7068482
Alasinkatu 11, 40320 Jyväskylä, Finland;62.26051039999999;25.7813981
Alatie 10, 40420 Jyväskylä, Finland;62.2363887;25.8331415
Alatuhdonkuja 6, 40520 Jyväskylä, Finland;62.2031907;25.7517096
Alvar Aallon katu 11, 40600 Jyväskylä, Finland;62.2333799;25.7322315
Ampumaradantie 5, 41310 Laukaa, Finland;62.306814;25.8262548
Apila 5, 41800 Jyväskylä, Finland;62.01917299999999;25.5780162
Puistokatu 1, 40100 Jyväskylä, Finland;62.24428019999999;25.7502161
Asemakatu 5, 40100 Jyväskylä, Finland;62.24196809999999;25.7486407
Asmalammentie 11, 40420 Jyväskylä, Finland;62.243557;25.8373476
Autiosillantie 8, 41160 Jyväskylä, Finland;62.36803680000001;25.6629675
Debrecenintie, 40250 Jyväskylä, Finland;62.2669882;25.7601787
Erämiehenkatu 9, 40630 Jyväskylä, Finland;62.2369866;25.6943486
Eräpälkäneentie 5, 40520 Jyväskylä, Finland;62.2106997;25.7663418
Eteläväylä 15, 40530 Jyväskylä, Finland;62.18996600000001;25.701996
Eteläväylä 17, 40530 Jyväskylä, Finland;62.18942959999999;25.7016094
Etu-Kanavuorentie 6, 40800 Jyväskylä, Finland;62.2431241;25.8953833
Haapavuorentie 7, 40930 Muurame, Finland;62.1777657;25.7440862
Haarakatu, Jyväskylä, Finland;62.2345394;25.7327474
Hakamäentie 13, 41800 Jyväskylä, Finland;62.11097780000001;25.4911795
Halisenmutka 10, 40520 Jyväskylä, Finland;62.21830000000001;25.7407492
Halkomäentie 11, 41940 Jyväskylä, Finland;62.2560552;25.5582002
Hallamäentie 12, 41940 Jyväskylä, Finland;62.21279380000001;25.4239651
Halssilanrinne 3, 40400 Jyväskylä, Finland;62.2488679;25.8054262
Halssilanrinne 9, 40400 Jyväskylä, Finland;62.2488679;25.8054262
Halsvuorentie 9, 41330 Jyväskylä, Finland;62.3695574;25.810236
Hämeenlahdentie 5, 40520 Jyväskylä, Finland;62.2206223;25.7869151
Hannikaisenkatu 13, 40100 Jyväskylä, Finland;62.23804239999999;25.7461514
Hannikaisenkatu 3, 40100 Jyväskylä, Finland;62.2365283;25.7431673
Hannikaisenkatu 5, 40100 Jyväskylä, Finland;62.2365054;25.7432189
Hannikaisenkatu 6, 40100 Jyväskylä, Finland;62.23797949999999;25.7473244
Harjulantie 18, 41630 Jyväskylä, Finland;62.1597579;25.9167514
